palabra_en_ingles,traduccion
Medium Rare,Medio Crudo.
Dish,Plato.
Spicy,Picante.
Cod,Bacalao.
A side of chips,Una guarnición de papas fritas.
Side dishes,Guarniciones.
Can of,Lata de.
Dairy-free,Libre de Lacteos.
Avocado,Aguacate.
Ginger,Jengibre.
Sore Throat,Dolor de Gargante.
Sour,Agrio.
Bitter,Ama.
Cured Jam,Jamón crudo.
Crisps,Papas Fritas.
Steak,Filete.
Savoury,Salado (Umami también) It's like slightly salty.
Salty,Salado más que Savoury.
"Tasty, Yummy, Delish",Delicioso.
Molten,Fundido (Like Molten CheeseCake).
Bland,"Soso, insipido."
Greasy,Grasiento.
Lizard,Lagarto.
Jumper,"Jersey, Sueter, Buzo? = Sweater en US."
Trainers,Zapatillas = Sneakers en US.
Trousers,Pants US : Pantalones.
Pants,"Panties US : Bragas, Calzones."
Heels,High-heleed shoes. Zapatos de tacón alto.
Lenses,Lentes.
The fitting room,El Probador.
Those clothes doesn't suit in her,Esta ropa no le quedan bien.
Loose,"Flojos, Sueltos, Holgados (ropa)."
Fit,"Ajuste, Encajar."
Tight,Apretado.
Smart,"Inteligente, Pero a la vez... aplicado a ropa o look"
Smart Look,Aspecto Elegante.
Fashionable,A la moda.
Ripped,"Desgarrado, Rasgado  ->"
On trend,"En tendencia, a la moda."
Trendy,De Moda.
Crop Top,Top corto.
CatWalk,Pasarela.
Wore,Llevaba.
Worn,Desgastado.
Neither,"Ni, tampoco. Ni En.  ="
On Sale,A discount for a product.
BOGOF,Buy One. get one free.
The till,"La caja registradora, la caja."
Either,"O bien, ya sea, o."
Chore,Tarea.
Crowded,"Abarrotado, Atestado."
My Local,It's use to describe a place that's in area near to you. Also in the UK you can use it for refeer to a place you visit frequently.
Held,Celebrada.
Venue,"Lugar de Celebración, Lugar de reunión."
Worship,"Adoración, cultos."
Square,Plaza (En términos de lugares).
fair,Feria.
Around the corner,A la vuelta de la esquina.
Ferris Wheel,"Noria, Rueda de la fortuna."
Mall,Centro Comercial.
The Bakery,La panadería.
Down the street,Al final de la calle.
To stay in,Para quedarse en.
Through,A través de.
Go past,Pasar.
Beside,Junto al.
Deli,Charcutería o delicatessen -> Es una tienda que vende alimentos especiales.
To come across,Encontrar.
Across,A través de.
Few,"Algunos, Pocos, Unos."
By chance,Por casualidad.
Nearby,Cerca de.
Useful,Útil.
Welsh,Gales.
Local delicacy,Exquisitez Local //
Delicacy,Delicadeza.
Laverbread,Pan de lava.
Seaweed,Algas.
Looking forward,Mirando al futuro. //
Looking forward to,Esperando.
Local newsagent's,Quiosco Local.
Sat,Sentarse.
Cropping,Recortando.
Crop,Recortar.
Taught,"Enseña, Enseño."
Flew,Voló (Volar en pasado).
Pedestrian,Peatones.
The platform,El andén. (En contexto de esperar el tren) O Plataforma.
To depart,Salir.
To arrive,Llegar.
Reach,"Llegar a, acceder a."
To be expected at,Se espera que llegue.
To be delayed,"Estar retrasado, Retrasarse."
Overnight,Durante la noche.
Refund,Reembolso.
Arranging,Organizando. Organizar.
Poor weather conditions,Malas condiciones climáticas.
This may cause,Esto puede causar //
May,puede.
The underground,El metro en contexto de transportes.
Tube,"Tubo, Tubería."
A tram,Un tranvía.
Till,Hasta.
Hire a car,Alquilar un coche.
Cuisine,"Cocina, Gastronomía."
To go kayaking,Ir en Kayak.
Rather,Más bien.
Would Rather,Preferiría.
Snorkelling,Buceo.
Skiing,Esquiar.
Barbacue,Barbacoa.
The present,El regalo.
Kidney,Riñon.
Lift,"Ascensor, I need a lift till there = Necesito que me lleven hasta allí."
Mud Wrestiling,Lucha contra el barro.
Mud,Barro.
Won't,"Forma negativa de will, no lo haré : I Won't."
Fianceé,"Prometido, prometida, novia."
Gosh,Dios.
Abroad,En el extranjero.
Leisure,Ocio. Tiempo Libre.
Trip,Viaje.
Cruise,Crucero.
Staycation,"Estancia, Vacaciones en Casa."
Involved,Implican.
A package holiday,Un viaje Organizado.
To book a flight,Reservar un vuelo.
Accommodation,Alojamiento.
Transfer,Translado.
Visa,Visado.
Itinerary,Un itinerario.
Per,Por.
Waterfall,Cascada.
Bright,Brillante.
A hostel,Un albergue.
B&B,Un hostal = A bed and Breakfast.
A campist,Un camping.
Tents,Tiendas. Carpas.
Campers,Autocaravanas.
Straight,"Recto, Go straight to (Ir directamente a)."
Check in,Registrarse.
To Check out,Salir.
Noon,Mediodía.
Van,Furgoneta.
To sunbathe,Tomar el sol.
My Tan,Mi bronceado.
Faded,"Descolorido, desteñido. (Desvancerse)."
Souvenir,"Recuerdo, Recordatorio."
Magnet,Imán.
Postcart,Carta Postal.
Can you make it to my party?,¿Puedes venir a mi fiesta?.
"Sure, Count Me In!","Seguro , conta conmigo!."
RSVP,Se ruega confirmar la asistencia.
Housewarming,Inauguración de la casa.
Bring,"Traer, Traiga."
Afraid,"Miedo, Asustado, Teme."
That's a shame!,¡ Qué pena !.
Plenty,"En abundancia, mucho, abundante."
Plenty of,Un montón de.
Anymore,"Más, ya, ya no."
Any more,Algo más de.
There's no room.,"Puede ser No hay sitio, No hay espacio, No hay lugar, No queda sitio."
To throw a party,Dar una fiesta. (Thrown is the past of throw).
Bachelor party,Despedida de soltero.
A venue,Un Local.
Dining room,El comedor.
Help yourself,Sírvete (Dig in Una manera informal de decir que te sirvas la comida).
Do you want seconds?,¿ Quieres repetir ?.
Leave room for dessert.,Deja espacio para el postre.
Would you like a top-up?,¿ Queres más ? o ¿ Queres una recarga?.
It's not as busy there as,No está tan concurrido como.
Bow slightly,Inclinarse ligeramente.
To bow,hacer una reverencia.
Greet,"Saludar, Saluda a."
Host,Anfitrión.
Flavour,Sabor.
Blueberry,Arándanos.
What did Ramon's friend make?,¿Qué hizo el amigo de pepe?.
What were Sasha and her friends talking about?,¿De qué hablaban Sasha y sus amigas?.
Attended,"Asistió a, Visite."
Sore throat,Dolor de Garganta.
To have a sore,Tener dolor de.
To have a temperature,Tener fiebre.
Fever,Fiebre.
Headache,Dolor de cabeza.
Painkillers,Analgésicos.
I feel dizzy,Estoy mareada/o.
Suffer,Sufrir.
To pick up a bug,Agarrar un virus.
To get over,Recuperarse.
Got over a cold,Superar un resfriado.
Get plenty of rest,Descansa mucho.
Avoid dairy,Evitar los lácteos.
Make an appointment,Concertar una cita. pedir cita.
I had a check up,Me hice un chequeo.
A prescription,Una receta (médica).
Heartbeat,"Latido, Pulso."
Sharp Pain,Dolor agudo.
Look out,Cuidado.
Stand up,Levantarse.
Please be quiet,"Por favor, silencio."
Quiet,"Tranquilo, silencio."
Aubergine,Berenjena.
Argue,Argumentar.
Let's meet up over the weekend.,Quedemos el fin de semana.
Bench,Banco.
Cut back,"Recortar, Reducir."
Eating more greens,Comer más verduras.
We wish you the best,Te deseamos lo mejor.
They hope for the best,Esperan lo mejor.
She hopes so,Ella lo espera.
So fingers crossed we win.,Así que crucemos los dedos para que ganemos.
Raincoat,Impermeable.
She'd rather,Ella preferiría.
Time off work,Vacaciones.
I'll know what clothes to pack.,Sabre que ropa meter en la maleta.
Chopsticks,Palillos (Para comer).
Cease,"Cesar, terminar, dejar."
Short getaway,Escapada corta.
An active holidays,Unas vacaciones activas.
Lie on the,"Tumbarse, se encuentra en el. (No es solo mentir Lie.)."
City Break,Escapada urbana.
Beach getaway,Una escapada a la playa.
A luxury stay,Una estancia de lujo.
Luxurious,Lujoso.
Boutique,Tienda.
Vineyards,Viñedos.
Forecast,"Previsión, Pronóstico."
Scuba diving,Buceo.
Scuba diving trip,Viaje de submarinismo.
They are moving house soon.,Se están por mudar pronto.
Surprisingly,Sorprendentemente.
Disappointing,"Decepcionante, desilusionante."
Look very inviting,Parecen muy atractivas.
Helpful,Útil.
Were so helpful,Fueron tan serviciales.
Unforgettable,Inolvidable.
The highlight,Lo más destacado.
Jaw-dropping,Alucinante.
Desired,Deseado.
Toured,"Visitó, Recorrió."
Marshmallow,Malvavisco.
Pillow,Almohada.
Smelled funny,Olía raro.
Hammocks,Hamacas.
Backpackers,Mochilero.
All in all,"En general, en resumen, en conjunto."
All that said,"Dicho esto, Lo dicho."
Was rather dissapointing,Fue bastante decepcionante.
Goes hand in hand,"Va de mano en mano, significa estar relacionado con algo."
Lively,Animado.
Cosmopolitan,Implies influence for different countries and cultures. No tiene definición directa al español.
Long-established custom,Costumbre establecida.
Picturesque,Pintoresco.
Faced,"Enfrentado, se enfrentó a, encarado."
Her window faced,Su ventana daba a ...
Noisy,Ruidoso/a.
Polluted,"Contaminado, Contaminada."
Noisier,Más ruidoso.
Old-fashioned,"A la antigua, anticuado."
Less touristy city,Ciudad menos turística.
A coral reef,Un arrecife de coral.
"In clear, warm waters.",En aguas cristalinas y cálidas.
A sandy beach,Playa de arena.
Couples,Parejas.
Sunset,Puesta de sol.
Cliff,Un acantilado.
Grassy Cliff,Un acantilado cubierto de hierba.
Damp,Húmedo.
Climbers,"Montañista (Escalador, Trepadores)."
Stood at,"Se paró en, Situado en, Se quedó en."
Seashells,Conchas Marinas.
Caught,Atrapo. Capturo.
Happily,Felizmente.
Wave,Ola. (Una ola del Mar).
Sunrise,Amanecer.
A coast,Una costa.
To fill out forms,Rellenar formularios.
Tenant,Inquilino.
Landlord,Propietario.
Sign,"Firmar, Firme."
To get a phone contract,Obtener un contrato telefónico. // Busuu : Conseguir un número de teléfono.
To look up,Buscar.
Embassy,Embajada.
A plan,"On cellphones context it's ""Tarifa""."
Per month,Al mes.
I got a great deal,"Conseguí un gran trato, Conseguí un buen trato, Tengo un gran trato, Conseguí una gran oferta."
I got a great deal on my new cellphone.,Conseguí mi móvil nuevo a buen precio.
To bear,Soportar.
To bear with someone,Esperar.
To go for something,Elegir.
To take down something,Anotar.
No worries,No te preocupes.
By the way,Por cierto.
You're good to go,Ya está todo.
Your account is all set up,Tu cuenta ya esta lista.
If that's ok,Si estas de acuerdo.
Bear with me a sec,Espera un momento por favor.
Is spoken widely,Se habla mucho.
Widely,Ampliamente.
Which statement summarises,Que afirmación resume?.
Are you moving there?,¿ Te mudas allí ?.
To look for a job,Buscar trabajo.
"Job Hunting, Job Seeking, Job Searching",Buscar Trabajo.
Advert,"Anuncio, Publicidad, Aviso."
To apply,Presentar su candidatura.
To send an application,"Enviar una candidatura, enviar una solicitud."
Qualifications,"Cualificaciones, Titulación, Formación."
Skills,Competencias.
I hope I made a good impression in my interview!,Espero haber causado una buena impresión en la entrevista!.
Offered,Ofrecido.
Good fit,"Buen ajuste, buen encaje, buena adaptación."
I look forward to hearing from you,"Espero sus noticias, Espero recibir noticias suyas."
And drive for,E impulso por.
an so on,"Etc, Y así sucesivamente, y demás."
Budget flight,Vuelo económico.
Small beach town,Pequeña ciudad costera.
Somewhere lively,En algún lugar animado.
Overall,En general.
Left much to be desired,Dejaba mucho que desear.
Was a bit rude,Fue un poco grosero.
Show someone around town,Enseñar la ciudad a alguien.
Removed without consent,Retirado sin consentimiento.
Urges,"Insta a, Urge."
Will cause ripples beyond,Tendrá repercusiones (consecuencias) más allá de.
Beyond,Más allá de.
The latter is due to reopen,Este último debe reabrir.
Is due,Se debe.
Amassed,Acumulado.
Rightfull owner,Legítimo propietario.
A hot spring,Una fuente natural de agua caliente.
A hot tub,Baño caliente.
To bathe/ to soak,Darse un baño.
The bathing macaques,Los macacos que se bañan.
It's likely,Es probable que.
Passed down,"Transmitido, Heredado."
With over,Con más de.
Cricket,Críquet.
Fencing,Esgrima.
Boxing,Boxeo.
You are into something,Significa que te gusta o te interesa el tenis.
You are getting into tennis,Significa que empiezas a interesarte en este deporte.
Lifted,Levantado.
Trophy,Trofeo.
Mat,"Alfombrilla, estera, alfombra."
Held,"Celebrar, Celebrado."
Showpiece event,Gran acontecimiento.
Measure,"Medir, Mida, Medida."
Thin,Fino.
Thinnest,El más fino.
What is your earliest memory?,¿ Cuál es su primer recuerdo?.
My most important possession.,Mi posesión más importante.
Peak,"Cumbre, Cima, Pico."
Narrow,Estrecho.
I Overslept,Me quede dormido.
Mockingbird,"Sinsonte, Ruiseñor, Burlón."
Though,Aunque.
Though slower than,Aunque más lento que.
Land animals,Animales Terrestres.
To get in shape,Ponerse en forma.
To get a membership,"Para hacerse socio, para hacerse miembro, para ser miembro, Abonarse."
In advance,"Por adelantado, con antelación, de antemano."
Major challenge,Reto importante.
To lift weights,Hacer pesas.
My fitness goal,"Mi objetivo deportivo, Mi objetivo de entrenamiento."
To work out,Hacer ejercicio.
Sore,"Dolor, dolorido, dolorida."
To raise money for,Recaudar fondos para una organización benefica.
To sponsor,Cuando apoyas a alguien haciendo donaciones para su causa.
Homeless shelter,Albergue para personas sin hogar.
To as many as,A tantos como.
This cause is very close to my heart.,Esto causa me toca muy de cerca.
It really means the world to me.,Significa mucho para mí.
Be greatly appreciated!,Se agradecerá mucho.
I aim to,Mi objetivo es.
Therefore,Por lo tanto.
To be overwhelmed,Estar sobrepasado/a.
To unwind,Desconectar.
Deadlines,Fechas de entrega.
To have a lot on,"Tener mucho en, Estar repleto de cosas."
To make time for,Sacar tiempo para.
Schedule,"Horario, Programa, Calendario."
To put pressure on oneself,Ponerse Presión.
Me time,Tiempo para mí.
To take part in group therapy,Hacer terapia de grupo.
To join a walking club,Apuntarse a un club de senderismo.
Evening,"Por la noche, tarde."
Struggling,"Luchando, con dificultades, con problemas."
Workload,Carga de trabajo.
It's not up to us,No depende de nosotros.
Because of,Debido a.
Injury,"Lesión, herida, perjuicio."
Relax best,Se relaja mejor.
Sticky,Pegajoso.
It avoid,Evita.
Having to type messages,Tener que escribir mensajes.
Anyway,De todos modos.
Handpainted,Pintado a mano.
Exciting,Emocionante.
The game has frozen,El juego se ha colgado.
Score,Puntuación.
A raid,Un ataque por sorpresa.
To raid,Atacar por sorpresa.
Raiding,"Asalto, Incursión."
Afterwards,"Después, a continuación, posteriormente."
Though,Aunque.
Thought,"Pensó, Pensamiento."
Through,A través de.
There were loads,"Había montones, había un montón."
Amid,Entre.
Strobe lights,Luces estroboscópicas.
Booming,En auge.
To stage,Organizar.
To lure,Atraer.
To nurture,Cuidar.
Avid,"Ávido, ansioso, codicioso."
Maladjusted,Inadeacuado.
Facility,Instalación (Lugar físico).
It will hold up,Aguantará.
it will hold up to thousand peoples,Puede albergar hasta mil personas (También la podemos usar para referirnos a albergar gente).
Gather,"Reunir, recoja."
Will Gather,Reunirá.
Each other compete,Competir entre sí.
Revenue,"Ingresos, facturación."
Increasingly firms are staging,Cada vez más empresas.
Firms,Empresas.
Staging,"Puesta en escena, escenificación."
Hole up for hours,Esconderse durante horas.
"Play for hours in the dark, alone but for their consoles.","Juegan durante horas en la oscuridad, con la única compañía de sus consolas. (Lo cual el traductor gpt no interpreta así)."
As competitive gaming is known,Como se conoce al juego competitivo.
To nurture an avid fanbase,Cultivar una base de fans ávidos.
"In other ways, too","También en otros aspectos. También de otras maneras, formas, sentidos."
Plus,Más. Además.
Occasion,Ocasión.
A venue,"Un Local. (Repetida 3 oraciones obligatorias, para marcar)."
Well in advance,Con mucha antelación.
Dress code,Código de vestimenta.
Bring a plus one,Traer un acompañante.
A Seating Plan,Plano de Asientos.
To propose a toast,Proponer un brindis.
Toast,"Tostada, Brindis."
What's the occasion?,¿Cuál es la ocasión? o ¿Qué se celebra?.
Joint,"Conjunta, Conjunto. Articulación."
Gazebo,"Cenador, Mirador, Glorieta."
To catch up,Para ponerse al día.
Boardgames night,Noche de juegos de mesa.
To have over people,Tener visita.
A get-together,Un encuentro.
BYOB,Lleven su propio escabio a la fiesta. Bi Guai Ou Bi == Bring Your Own Booze : Tráete tu propio alcohol.
Unfortunately,"Por desgracia, lamentablemente."
"I am a great cook, aren't I?","Osea es simple, Soy un gran cocinero, a que sí(verdad,no)?. Se usa el aren't porque pueden, pero es correcto gramaticalmente y se usa en el tipo de preguntas tag."
It's been ages,Han pasado años.
Brought,"Traído, trajo, llevado."
Bought,"Comprado, Comprado en, Compré."
I gave a lift to the party,"Llevé a la fiesta, Le di un aventón a la fiesta."
Student loan,Préstamo estudiantil.
A wristband,Una pulsera.
Pitch your tent,"Monta tu tienda, montar la tienda."
Tent,Tienda de campaña.
A blend,"Una mezcla, una combinación."
Glamping,"Es una combinación de Glamour y Camping, no tiene traducción."
Headliners,Cabeza de cartel.
You name it,"Lo que se te ocurra, Lo que quieras."
"Wellies, gum boots, rain boots",Botas de agua.
Delighted,Encantado.
Unlikely,Improbable.
To be packed with,Para estar repleto de.
Utterly,Totalmente.
Your way arround,Tu camino. Tu camino por los alrededores.
If you attend,Si asiste a.
Frightfully,Espantosamente.
Accomodation,Alojamiento.
To be fond of,Encariñarse con / Enamorarse de / Aficionarse a.
To be crazy about,Adorar.
It's all the same to me,Para mí es lo mismo.
I don't like it at all,No me gusta nada.
Scratch,"Rasca, Arañar."
I can't bear it,No puedo soportarlo.
To be keen on,A sido aficionado a.
Had to give up,Tuvo que renunciar.
Indegenous,Indígena.
Lying in my bed,"Tumbado en mi cama, Acostado en mi cama."
Mainly,"Principalmente, Sobre todo."
Plot,Parcela. Trama.
Disabled Person,Persona discapacitada.
Suddenly,De repente.
Surprisingly,Sorprendentemente.
The door wide open,La puerta abierta de par en par.
Gradually,Gradualmente.
Immediately,Inmediatamente.
Strangely,Extrañamente.
OBVIOUSLY,OBVIAMENTE.
UNFORTUNATELY,Desafortunadamente.
is set in,"Se establece en, se ajusta en, se configura en."
Play the role,Interpretar el papel.
Against all odds,A pesar de todo.
Cheerful,Alegre.
Sunflowers,Girasoles.
Easy-going,De trato fácil.
Charming,Encantador / Encantadora.
Orchid,Orquídea.
Confident Person,Persona segura de sí misma.
Bouquet,"Ramo, Ramo de flores."
Caring,"Cariñosa, Cariñoso."
Peones,Las peonías.
Thoughtful,Considerada/o.
Pleasant,Agradable.
Humble,Humilde.
About her marks,"Sobre sus marcas, notas, huellas."
Shy,Tímido/Tímida.
Pass her finals,"Aprobar sus finales, los finales."
Hard-working,Muy trabajador.
Clever,Inteligente.
Silly,Tonto.
Sloppy,Descuidado.
My earliest childhood memory,Mi primer recuerdo de la infancia.
A clear memory,Un recuerdo claro.
To remind of,Recordar.
Even though,"Aunque, a pesar de que, a pesar de."
To get to the bottom of,Llegar al fondo de.
Get rid of,Deshacerse de.
To get on with,Llevarse bien con.
To get away with,"Salirse con la suya, librarse de las consecuencia."
Senses,Sentidos.
Gingerbreads cookies,Galletas de Jengibre.
Cinnamon Cookies,Galletas de canela.
Weighing,"Pesaje, Pesando."
Confectionary shop,Confitería.
To keep in touch,Mantenerse en contacto..
To be on the same page,Estar en sintonía.
Ran smoothly,Funciono sin problemas.
To get along with,Llevarse bien con.
Aside from a few.,Aparte de unos pocos.
As arrogant as she was,Es tan arrogante como ella.
Knit,"Punto, Tejer."
Blended,Mezclado.
Surrounded,Rodeado.
A single-parent household,Un hogar monoparental.
Household,Hogar.
Twins,Gemelos/as.
Special Bond,Vínculo especial
Bond,"Bono, Enlace, Vínculo, Fianza."
Soap operas,Telenovelas.
To ask somebody out,Invitar a alguien a salir.
To fall in love with,Enamorarse de.
To get engaged to,Comprometerse con.
Flatmates,Compañeros de piso.
Had hung out,Había pasado el rato.
Jealous,"Celoso, Envidioso."
I won't be sleeping then.,Entonces no dormiré.
Foreigners,Extranjeros.
Neighbourhoods,"Vecindarios, Barrios."
Green spaces,Espacios verdes.
Ancient Ruins,Ruinas.
Residential Areas,Zonas residenciales.
Parthenon,Partenón.
Well-preserved buildings,Edificios bien conservados.
But its,"Pero su, sino su, pero sus."
Is just as exciting,Es igual de emocionante.
A busy city,Una ciudad ajetreada.
The sights,"Las vistas, los lugares de interés."
Skyscrapers,Rascacielos.
Architect,Arquitecto.
Each grammar tense has its own passive form.,Cada tiempo gramatical tiene su propia forma pasiva.
Grammar tense,Tiempo gramatical.
Must be made,Debe hacerse.
Affordable,Asequible.
Nursing Homes,Residencias de ancianos.
Could be cared for close to home.,Podría ser atendido cerca de casa.
Housing,Vivienda.
Envelope,Sobre.
Suitcases,Maletas.
Ocean liners,Trasatlánticos.
Litographic printing,Impresión litográfica.
Motorway,Autopista.
Was founded,Se fundó.
Huge outdoor playground,Enorme parque infantil al aire libre.
Scarce,Escasos.
Whose,"Cuyo, cuya dirección."
Borrow,"Pedir prestado, tomar prestado."
I have a pen that you can borrow.,Tengo un bolígrafo que puedo prestarte.
Which,"Que, en, en la que."
Broken Into,"Roto en, divido en, quebrado en."
Which is localy grown,Que se cultiva localmente.
The building wasn't destroyed because people protested.,El edificio no se destruyó porque la gente protestara.
Broken down,"Descompuesto, averiado, desglosado."
Dissatisfied,"Insatisfecho, insatisfechos, descontento."
Afraid,Si no hubiera tenido miedo.
To run out of,Quedarse sin.
Melted,"Fundido, derretido."
Popsicle,Paleta (Helada).
Thin,Fino/Fina.
Thick,Grueso/Gruesa.
The media,Los medios de comunicaciones.
Traditional Media,Medio de comunicación tradicionales.
Tabloids,Prensa sensacionalista.
Headline,Un titular.
The headline read,El titular decía.
Breaking news,Noticia de última hora.
A news anchor,Un presentador de los informativos.
She was the main evening news anchor for 20 years.,Fue la principal presentadora de los informativos de la noche durante 20 años.
A commercial break,Una pausa publicitaria.
More information was delivered,Se entrego más información.
Caught,"Atrapar, recoger."
Has caught fire,Se ha incendiado.
Could be seen,Podría verse.
Mobility scooter,Scooter de movilidad.
Being careless,Ser descuidado.
Passerby,"Transeúnte, paseante."
Stricter,Más estrictos.
Drove,Condujo.
A flight atendant,Un auxiliar de vuelo.
Complain quite a lot,Se quejan bastante.
Misunderstanding.,Malentendido.
Fluently,Con fluidez.
Vivid,"Vivo, Vívido, vivos, vívida."
"Out of sight, out of mind","Ojos que no ven, corazón que no siente (Traducción falopa)."
Couple creates an inexpensive dream wedding,Una pareja organiza una boda de ensueño barata.
These days,Hoy en día.
Get some advice about,Pedir consejo sobre.
You had a good time though; you looked like you did.,"Pero te lo pasaste bien, eso parecía."
"We've run out of milk, haven't we?","Nos hemos quedado sin leche, ¿no?."
With the unfamiliar influx of foreigners,Con la afluencia desconocida de forasteros.
A three-fold rise,Un aumento del triple.
One largely overlooked,Que antes se pasaba de largo.
On the global tourism trail,En la ruta del turismo mundial.
Are now even more congested,Están ahora aún más congestionados/as.
Moan they are being overrun by hordes of noisy gaijin,Se quejan de que están siendo invadidos por hordas de ruidosos extranjeeros (gaijin en ponja).
Overrun,"Rebasamiento, Rebase."
Such complaints—and fears of a popular backlash,Estas quejas y los miedos a una revuelta popular. (O reacción popular).
Backlash,"Contragolpe, contraataque."
Popular backslash,"Rechazo popular, reacción popular."
Tourism pollution,Contaminación turística.
As the population falls,A medida que disminuye la población.
Japan overwhelmed: islands flooded by tourists,Japón sobrepasado (las islas están inundas de turistas).
Not used to something,No acostumbrado a algo.
Thrives,Prospera.
Have triggered a survey,Han puesto en marcha una encuesta.
Trumpeted,"Trompeteado, o proclamar en ciertos contextos de anuncio."
Grants,"Becas, ayudas, subvenciones."
Common appliance,Electrodoméstico común. Aparato corriente.
Bread crumbs,"Migas de pan, pan rallado."
Behave,Comportarse.
Regarding,En relación con.
Chemist,"Farmacia, Químico, Farmacéutico."
A dance off,Un reto de baile.
The previous night,La última noche.
He had had breakfast,Que había desayunado.
He had had,Que había tenido.
To whisper,Susurrar.
To shout,Gritar.
To gossip,"Cotilleo, Chismes."
Coworkers,Compañeros de trabajo.
Stood around the,"Alrededor de la, se situaron alrededor de."
Stood,"En, se puso en pie, se paró, se situó."
To argue,Discutir.
But now they communicate better.,Pero ahora se comunican mejor.
Disagree and speak angrily,Discrepan y hablar aireadamente.
About unimportant matters.,Sobre asuntos sin importancia.
Bedtime stories,Cuentos para dormir.
To speak one's mind,Decir lo que se piensa.
Feel free,Siéntete libre.
To speak up,Hablar más alto. (subir la voz).
Hugged,Abrazó.
They last,Perduran.
Camper van,"Autocaravana, Furgoneta camper, caravana."
Narrow boat,Pequeño barco fluvial.
We started off,Empezamos.
Up and running,Funcionar.
I kinda like,Me gusta.
I've never tasted such fresh sushi,Nunca había probado un sushi tan fresco.
Spicy Sauce,Salsa picante.
Stress on the second syllable,Acento en la segunda sílaba.
Fluffy,Esponjoso.
That naan's fantastic,Ese naan es fántastico.
Rice is a staple,"El arroz es un alimento esencial, es un alimento básico."
Staple,"Grapa, grapadora, grapas."
Coconut Milk,Leche de coco.
You can get authentic Turkish food in London.,"En Londres, se puede comer comida turca de verdad."
Authentic,Auténtico.
"This tastes like real, authentic Italian Pizza",Sabe a auténtica pizza italiana.
These crepes have turned out really well!,Estas crepes han salido realmente muy bien.
I burned the top of it,Se me ha quemado la parte de arriba.
Bulgur Wheat,Trigo Bulgur.
Tomate paste,La paste de tomate.
Homemade food,"Comida casera, comida hecha en casa."
Uncertainty,Incertidumbre.
Discomfort,Malestar.
You can reflect on that emotion,Puedes reflexionar sobre esa emoción.
Have something to look forward,Tener algo que esperar.
Uncertain,Incierto/a.
Isolated,Aislado.
What has this year been like for you?,¿ Cómo ha sido este año para ti ?.
This year has been very difficult for me.,Este año ha sido muy difícil para mí.
I hope that soon I'll feel excited,Espero que pronto me emocione.
Feeling cosy,Sentirse a gusto.
Cosiness,Ambiente acogedor.
Bit of indulge,"Un poco de indulgencia, placer."
